Dataset,TimesFM_MSE,TimesFM_MASE,TimesFM_MSE.1,TimesFM_MASE.1,TimesFM_MSE.2,TimesFM_MASE.2,Chronos_MSE,Chronos_MASE,Moirai_MSE,Moirai_MASE
electricity,3811006.6804862735,0.7628406882286072,,,,,,,,
exchange_rate,0.0005915885286294,6.534599781036377,,,,,0.0006449729553423,6.583703994750977,0.0005278741428154,6.360886836376241
illness,7279502592.0,3.8531417846679688,,,,,6208865792.0,3.523133516311645,8912197907.856821,6.599382716317691
traffic,0.0007379634374574,0.7763694524765015,,,,,,,,
weather,4132.3909926098295,3.7857511043548575,,,,,8913.0703125,7.256536483764648,,
