dataset,size_in_MB,eval_time,AUC_ROC,Precision,Recall,F1
557_YAHOO_id_7_WebService_tr_500_1st_770,0.009467,1.86 s,0.8954,1.0,0.1357,0.239
614_YAHOO_id_64_WebService_tr_500_1st_1204,0.009619,0.79 s,0.9187,0.0974,0.2077,0.1326
704_YAHOO_id_154_WebService_tr_500_1st_541,0.009838,0.79 s,0.7426,0.375,0.035,0.064
657_YAHOO_id_107_WebService_tr_500_1st_1260,0.009995,0.80 s,1.0,1.0,1.0,1.0
626_YAHOO_id_76_WebService_tr_500_1st_883,0.010173,0.78 s,1.0,0.9293,1.0,0.9633
705_YAHOO_id_155_WebService_tr_500_1st_1279,0.011013,0.78 s,1.0,1.0,0.9474,0.973
644_YAHOO_id_94_WebService_tr_500_1st_1078,0.011046,0.83 s,0.7076,0.0,0.0,0.0
558_YAHOO_id_8_WebService_tr_500_1st_1125,0.011197,0.41 s,0.714,0.001,0.0005,0.0007
693_YAHOO_id_143_WebService_tr_500_1st_1003,0.011522,0.40 s,0.9933,0.3621,0.7778,0.4941
615_YAHOO_id_65_WebService_tr_500_1st_348,0.011861,0.40 s,0.999,0.4046,1.0,0.5761
734_YAHOO_id_184_WebService_tr_500_1st_768,0.012035,0.41 s,0.9129,1.0,0.1794,0.3042
807_YAHOO_id_257_WebService_tr_500_1st_1210,0.012309,0.40 s,0.9509,0.3911,0.2959,0.3369
594_YAHOO_id_44_WebService_tr_500_1st_599,0.012459,0.40 s,0.8966,0.0287,0.2552,0.0517
674_YAHOO_id_124_WebService_tr_500_1st_514,0.012965,0.40 s,1.0,1.0,0.5,0.6667
750_YAHOO_id_200_WebService_tr_500_1st_591,0.013763,0.39 s,0.7536,0.0268,0.0463,0.034
556_YAHOO_id_6_WebService_tr_500_1st_359,0.013815,0.40 s,0.802,0.2985,0.0844,0.1316
751_YAHOO_id_201_WebService_tr_500_1st_142,0.013821,0.40 s,0.9686,0.2276,0.6902,0.3423
808_YAHOO_id_258_WebService_tr_500_1st_142,0.013846,0.39 s,0.9917,0.1824,0.858,0.3008
140_MSL_id_1_Sensor_tr_530_1st_630,0.014591,0.74 s,0.8579,1.0,0.0082,0.0163
146_MSL_id_7_Sensor_tr_554_1st_1172,0.014593,0.66 s,0.5041,0.4046,0.0595,0.1037
764_YAHOO_id_214_WebService_tr_500_1st_599,0.015697,0.40 s,0.783,0.1534,0.4146,0.224
766_YAHOO_id_216_WebService_tr_500_1st_114,0.016873,0.41 s,0.9662,0.9541,0.2846,0.4385
009_NAB_id_9_Traffic_tr_500_1st_438,0.017314,0.69 s,0.6154,0.4413,0.0285,0.0535
013_NAB_id_13_Traffic_tr_623_1st_2084,0.017469,0.76 s,0.5968,0.845,0.0839,0.1526
026_NAB_id_26_Traffic_tr_624_1st_2261,0.017527,0.77 s,0.5605,0.0757,0.0521,0.0617
005_NAB_id_5_Traffic_tr_594_1st_1645,0.017679,0.71 s,0.5359,0.271,0.0425,0.0734
010_NAB_id_10_WebService_tr_500_1st_271,0.017778,0.39 s,0.5309,0.8889,0.0398,0.0762
018_NAB_id_18_Facility_tr_500_1st_669,0.01987,0.55 s,0.5482,0.0,0.0,0.0
007_NAB_id_7_Traffic_tr_624_1st_2087,0.020213,0.77 s,0.612,0.5772,0.0646,0.1162
027_NAB_id_27_Facility_tr_757_1st_2582,0.021395,0.94 s,0.5466,0.1508,0.0338,0.0552
277_NEK_id_1_WebService_tr_500_1st_17,0.022519,0.28 s,0.9596,1.0,0.4161,0.5876
279_NEK_id_3_WebService_tr_500_1st_974,0.022546,0.27 s,0.955,0.7544,0.7342,0.7442
283_NEK_id_7_WebService_tr_500_1st_777,0.022559,0.28 s,0.7525,0.7979,0.2335,0.3612
285_NEK_id_9_WebService_tr_500_1st_780,0.022559,0.27 s,0.7858,0.7398,0.2516,0.3755
280_NEK_id_4_WebService_tr_500_1st_231,0.02265,0.27 s,0.6542,1.0,0.0452,0.0865
278_NEK_id_2_WebService_tr_500_1st_64,0.02267,0.27 s,0.6821,1.0,0.0475,0.0908
282_NEK_id_6_WebService_tr_500_1st_64,0.022731,0.28 s,0.7226,1.0,0.0804,0.1489
284_NEK_id_8_WebService_tr_500_1st_976,0.023005,0.27 s,0.9631,0.8969,0.5189,0.6574
281_NEK_id_5_WebService_tr_500_1st_974,0.023008,0.27 s,0.9768,0.7663,0.5423,0.6351
017_NAB_id_17_Synthetic_tr_1007_1st_1805,0.024281,1.28 s,0.5546,0.1626,0.0295,0.05
622_YAHOO_id_72_WebService_tr_500_1st_421,0.025509,0.39 s,1.0,1.0,1.0,1.0
733_YAHOO_id_183_WebService_tr_500_1st_447,0.025966,0.40 s,0.9992,1.0,0.5297,0.6926
789_YAHOO_id_239_WebService_tr_500_1st_421,0.026142,0.39 s,0.9723,0.0789,0.6899,0.1416
667_YAHOO_id_117_WebService_tr_500_1st_421,0.026142,0.43 s,0.9746,0.0667,0.6202,0.1204
723_YAHOO_id_173_WebService_tr_500_1st_1214,0.026213,0.40 s,0.9998,0.1201,1.0,0.2145
722_YAHOO_id_172_WebService_tr_500_1st_353,0.026396,0.40 s,0.9992,0.2083,1.0,0.3448
804_YAHOO_id_254_WebService_tr_500_1st_420,0.026558,0.39 s,0.9169,0.9538,0.7032,0.8095
755_YAHOO_id_205_Synthetic_tr_500_1st_893,0.027216,0.39 s,1.0,0.4766,1.0,0.6456
620_YAHOO_id_70_Synthetic_tr_500_1st_658,0.027241,0.38 s,1.0,0.9621,0.9951,0.9783
721_YAHOO_id_171_Synthetic_tr_500_1st_893,0.027256,0.39 s,1.0,1.0,1.0,1.0
792_YAHOO_id_242_Synthetic_tr_500_1st_893,0.027259,0.38 s,1.0,1.0,1.0,1.0
588_YAHOO_id_38_Synthetic_tr_500_1st_658,0.027261,0.40 s,1.0,1.0,1.0,1.0
742_YAHOO_id_192_Synthetic_tr_500_1st_658,0.027263,0.39 s,1.0,0.9808,1.0,0.9903
625_YAHOO_id_75_Synthetic_tr_500_1st_658,0.027268,0.38 s,1.0,1.0,1.0,1.0
747_YAHOO_id_197_Synthetic_tr_500_1st_893,0.027272,0.39 s,1.0,0.3696,1.0,0.5397
562_YAHOO_id_12_Synthetic_tr_500_1st_893,0.02728,0.38 s,1.0,1.0,1.0,1.0
601_YAHOO_id_51_Synthetic_tr_500_1st_893,0.02728,0.39 s,1.0,1.0,1.0,1.0
658_YAHOO_id_108_Synthetic_tr_500_1st_893,0.027285,0.38 s,1.0,0.15,1.0,0.2609
590_YAHOO_id_40_Synthetic_tr_500_1st_658,0.027297,0.38 s,1.0,1.0,1.0,1.0
632_YAHOO_id_82_Synthetic_tr_500_1st_658,0.0273,0.38 s,1.0,0.9577,1.0,0.9784
777_YAHOO_id_227_Synthetic_tr_500_1st_623,0.027302,0.40 s,1.0,1.0,1.0,1.0
