dataset,size_in_MB,eval_time,AUC_ROC,Precision,Recall,F1
743_YAHOO_id_193_WebService_tr_500_1st_133,0.033567,0.72 s,0.923,0.4758,0.4421,0.4583
559_YAHOO_id_9_WebService_tr_500_1st_538,0.033593,0.70 s,1.0,0.4817,1.0,0.6502
770_YAHOO_id_220_WebService_tr_500_1st_29,0.033623,0.72 s,1.0,0.9857,0.9928,0.9892
795_YAHOO_id_245_WebService_tr_500_1st_84,0.033708,0.70 s,1.0,0.9711,1.0,0.9853
689_YAHOO_id_139_WebService_tr_500_1st_1073,0.033732,0.71 s,1.0,0.3036,1.0,0.4658
798_YAHOO_id_248_WebService_tr_500_1st_105,0.033735,0.71 s,1.0,1.0,1.0,1.0
805_YAHOO_id_255_WebService_tr_500_1st_95,0.033749,0.71 s,1.0,0.98,1.0,0.9899
561_YAHOO_id_11_WebService_tr_500_1st_359,0.033752,0.71 s,1.0,0.75,1.0,0.8571
728_YAHOO_id_178_WebService_tr_500_1st_68,0.033756,0.71 s,0.9971,0.494,0.713,0.5836
602_YAHOO_id_52_WebService_tr_500_1st_595,0.033774,0.71 s,1.0,0.6175,1.0,0.7635
757_YAHOO_id_207_WebService_tr_500_1st_33,0.033807,0.71 s,0.9968,0.2059,1.0,0.3415
612_YAHOO_id_62_WebService_tr_500_1st_97,0.033835,0.72 s,1.0,1.0,1.0,1.0
652_YAHOO_id_102_WebService_tr_500_1st_174,0.033857,0.71 s,1.0,1.0,0.9722,0.9859
735_YAHOO_id_185_WebService_tr_500_1st_20,0.033893,0.71 s,1.0,1.0,1.0,1.0
737_YAHOO_id_187_WebService_tr_500_1st_230,0.033917,0.74 s,1.0,0.5116,1.0,0.6769
754_YAHOO_id_204_WebService_tr_500_1st_28,0.033918,0.73 s,1.0,0.9494,1.0,0.974
629_YAHOO_id_79_WebService_tr_500_1st_222,0.033946,0.71 s,0.9988,0.5785,0.9889,0.73
655_YAHOO_id_105_WebService_tr_500_1st_17,0.033955,0.70 s,1.0,1.0,1.0,1.0
572_YAHOO_id_22_WebService_tr_500_1st_377,0.033968,0.71 s,1.0,0.9948,1.0,0.9974
646_YAHOO_id_96_WebService_tr_500_1st_121,0.033997,0.71 s,1.0,0.9778,1.0,0.9888
609_YAHOO_id_59_WebService_tr_500_1st_17,0.034005,0.71 s,1.0,1.0,1.0,1.0
700_YAHOO_id_150_WebService_tr_500_1st_82,0.034006,0.72 s,1.0,1.0,1.0,1.0
796_YAHOO_id_246_WebService_tr_500_1st_222,0.034007,0.71 s,0.9968,0.1453,0.9621,0.2525
771_YAHOO_id_221_WebService_tr_500_1st_61,0.034009,0.70 s,1.0,0.9982,1.0,0.9991
630_YAHOO_id_80_WebService_tr_500_1st_631,0.034037,0.70 s,1.0,0.8155,1.0,0.8984
654_YAHOO_id_104_WebService_tr_500_1st_20,0.034039,0.71 s,1.0,0.9968,1.0,0.9984
690_YAHOO_id_140_WebService_tr_500_1st_696,0.034043,0.75 s,0.9999,0.4114,1.0,0.583
688_YAHOO_id_138_WebService_tr_500_1st_482,0.034046,0.71 s,1.0,0.1644,1.0,0.2824
697_YAHOO_id_147_WebService_tr_500_1st_225,0.034048,0.70 s,1.0,0.8801,1.0,0.9362
745_YAHOO_id_195_WebService_tr_500_1st_326,0.034063,0.70 s,0.9959,0.3458,0.9396,0.5055
682_YAHOO_id_132_WebService_tr_500_1st_354,0.034065,0.70 s,0.9997,0.478,0.9896,0.6447
706_YAHOO_id_156_WebService_tr_500_1st_201,0.034067,0.70 s,0.9999,0.8347,0.9933,0.9072
604_YAHOO_id_54_WebService_tr_500_1st_116,0.034071,0.70 s,0.9999,0.752,0.9973,0.8575
661_YAHOO_id_111_WebService_tr_500_1st_279,0.034078,0.70 s,0.9465,0.8489,0.6804,0.7554
596_YAHOO_id_46_WebService_tr_500_1st_666,0.034083,0.71 s,1.0,0.5938,1.0,0.7451
677_YAHOO_id_127_WebService_tr_500_1st_46,0.034118,0.73 s,0.9602,0.2225,0.7203,0.34
144_MSL_id_5_Sensor_tr_1525_1st_4590,0.036611,2.72 s,0.4235,0.0124,0.0148,0.0135
019_NAB_id_19_Facility_tr_1007_1st_1171,0.03837,1.78 s,0.5771,0.2765,0.0154,0.0292
011_NAB_id_11_Facility_tr_1007_1st_1526,0.039511,1.79 s,0.7963,1.0,0.041,0.0787
001_NAB_id_1_Facility_tr_1007_1st_2014,0.040634,1.78 s,0.5196,1.0,0.011,0.0218
002_NAB_id_2_WebService_tr_1500_1st_4106,0.040965,2.66 s,0.5849,0.7804,0.0244,0.0473
022_NAB_id_22_Facility_tr_1007_1st_2980,0.041698,1.78 s,0.7342,0.9898,0.0154,0.0303
531_SMAP_id_1_Sensor_tr_1811_1st_4510,0.043476,3.22 s,0.9461,1.0,0.0313,0.0608
004_NAB_id_4_Facility_tr_1007_1st_1437,0.044654,1.78 s,0.858,1.0,0.0074,0.0148
542_SMAP_id_12_Sensor_tr_1908_1st_4690,0.047744,3.41 s,0.9302,1.0,0.1316,0.2326
141_MSL_id_2_Sensor_tr_500_1st_550,0.047861,0.98 s,0.6973,0.2635,0.033,0.0586
538_SMAP_id_8_Sensor_tr_2007_1st_3650,0.05048,3.58 s,0.9441,0.5485,0.2668,0.359
147_MSL_id_8_Sensor_tr_590_1st_690,0.051673,1.05 s,0.6272,0.2679,0.0372,0.0654
145_MSL_id_6_Sensor_tr_530_1st_630,0.052065,1.05 s,0.7472,0.2577,0.0445,0.076
534_SMAP_id_4_Sensor_tr_1968_1st_4370,0.055128,3.50 s,0.9542,1.0,0.0195,0.0383
400_UCR_id_98_Environment_tr_2046_1st_5391,0.056019,3.66 s,0.4165,0.0,0.0,0.0
495_UCR_id_193_Environment_tr_2046_1st_6520,0.056067,3.65 s,0.8187,0.0569,0.3878,0.0992
499_UCR_id_197_Environment_tr_2046_1st_5703,0.056121,3.67 s,0.7738,0.0546,0.377,0.0954
393_UCR_id_91_Environment_tr_2046_1st_4852,0.056248,3.68 s,0.6807,0.0372,0.1291,0.0578
387_UCR_id_85_Environment_tr_2046_1st_5549,0.056251,3.66 s,0.6936,0.0359,0.1253,0.0558
463_UCR_id_161_Environment_tr_2046_1st_6006,0.056258,3.69 s,0.673,0.0512,0.155,0.0769
863_OPPORTUNITY_id_22_HumanActivity_tr_808_1st_908,0.064661,4.07 s,0.2828,0.0005,0.0001,0.0001
012_NAB_id_12_Synthetic_tr_1007_1st_2787,0.067101,1.82 s,0.3374,0.1092,0.014,0.0248
015_NAB_id_15_Synthetic_tr_1007_1st_2787,0.067233,1.78 s,0.3655,0.0947,0.0121,0.0215
024_NAB_id_24_Synthetic_tr_1007_1st_2787,0.067242,1.79 s,0.6574,0.6728,0.0749,0.1347
020_NAB_id_20_Synthetic_tr_1007_1st_2679,0.067341,1.78 s,0.3693,0.1837,0.0197,0.0356
843_OPPORTUNITY_id_2_HumanActivity_tr_808_1st_908,0.070444,4.04 s,0.3525,0.1007,0.0138,0.0242
855_OPPORTUNITY_id_14_HumanActivity_tr_808_1st_908,0.071539,4.08 s,0.2232,0.0312,0.0024,0.0044
259_TAO_id_3_Environment_tr_500_1st_7,0.071893,4.50 s,0.9997,0.9893,0.7254,0.837
856_OPPORTUNITY_id_15_HumanActivity_tr_808_1st_908,0.072231,4.08 s,0.2087,0.0414,0.0048,0.0087
860_OPPORTUNITY_id_19_HumanActivity_tr_808_1st_908,0.072742,4.09 s,0.3483,0.0423,0.0043,0.0078
858_OPPORTUNITY_id_17_HumanActivity_tr_808_1st_908,0.073282,4.09 s,0.2749,0.0845,0.0106,0.0189
148_MSL_id_9_Sensor_tr_883_1st_1238,0.073638,1.56 s,0.7463,0.8034,0.0081,0.0159
867_OPPORTUNITY_id_26_HumanActivity_tr_808_1st_908,0.076082,4.08 s,0.2187,0.0902,0.0127,0.0223
853_OPPORTUNITY_id_12_HumanActivity_tr_808_1st_908,0.077564,4.08 s,0.2646,0.0614,0.0067,0.012
334_UCR_id_32_HumanActivity_tr_1671_1st_2764,0.079675,3.00 s,0.3348,0.0228,0.0086,0.0125
401_UCR_id_99_HumanActivity_tr_1671_1st_5920,0.079697,2.99 s,0.7762,0.0744,0.0967,0.0841
397_UCR_id_95_Medical_tr_1830_1st_4675,0.079702,3.29 s,0.5592,0.2063,0.0939,0.129
371_UCR_id_69_Medical_tr_1853_1st_6200,0.080754,3.32 s,0.589,0.0861,0.074,0.0796
489_UCR_id_187_Medical_tr_1875_1st_4485,0.081605,3.35 s,0.5599,0.0104,0.0184,0.0133
410_UCR_id_108_Medical_tr_1875_1st_4187,0.081613,3.35 s,0.842,0.0328,0.5508,0.0619
383_UCR_id_81_Medical_tr_1875_1st_3198,0.081613,3.36 s,0.7111,0.1055,0.1645,0.1285
484_UCR_id_182_Medical_tr_1875_1st_5759,0.081613,3.34 s,0.5533,0.0258,0.0291,0.0273
326_UCR_id_24_Medical_tr_1875_1st_4187,0.081625,3.34 s,0.6131,0.0028,0.0423,0.0053
335_UCR_id_33_Medical_tr_1875_1st_4526,0.081632,3.35 s,0.63,0.0034,0.0182,0.0058
486_UCR_id_184_Medical_tr_1875_1st_5607,0.081632,3.35 s,0.8769,0.0747,0.4085,0.1263
509_UCR_id_207_Medical_tr_1875_1st_6599,0.081656,3.34 s,0.3199,0.0,0.0,0.0
324_UCR_id_22_Medical_tr_1875_1st_5865,0.08169,3.34 s,0.4052,0.0007,0.0009,0.0008
847_OPPORTUNITY_id_6_HumanActivity_tr_808_1st_908,0.082217,4.07 s,0.2763,0.085,0.0098,0.0176
481_UCR_id_179_Medical_tr_1900_1st_5684,0.082782,3.41 s,0.5344,0.037,0.0353,0.0361
328_UCR_id_26_Medical_tr_1913_1st_3474,0.083311,3.44 s,0.6942,0.0754,0.0735,0.0744
143_MSL_id_4_Sensor_tr_980_1st_3550,0.084303,1.73 s,0.9365,0.8275,0.2919,0.4316
465_UCR_id_163_HumanActivity_tr_1671_1st_5920,0.086428,2.99 s,0.7641,0.0694,0.0933,0.0796
512_UCR_id_210_HumanActivity_tr_1671_1st_2764,0.086438,3.00 s,0.3584,0.0265,0.0101,0.0147
380_UCR_id_78_Medical_tr_1830_1st_4675,0.087095,3.29 s,0.5587,0.2174,0.0919,0.1292
269_IOPS_id_10_WebService_tr_1216_1st_1728,0.087548,2.15 s,0.7685,0.129,0.1116,0.1197
462_UCR_id_160_Medical_tr_1853_1st_6200,0.088147,3.31 s,0.5759,0.0793,0.0699,0.0743
321_UCR_id_19_Medical_tr_1875_1st_4485,0.089153,3.34 s,0.564,0.0119,0.0197,0.0148
524_UCR_id_222_Medical_tr_1875_1st_5865,0.089153,3.36 s,0.4291,0.0029,0.0036,0.0032
396_UCR_id_94_Medical_tr_1875_1st_5607,0.089159,3.36 s,0.8413,0.0523,0.2979,0.089
403_UCR_id_101_Medical_tr_1875_1st_4187,0.089162,3.35 s,0.6101,0.0062,0.0847,0.0115
436_UCR_id_134_Medical_tr_1875_1st_4526,0.089168,3.34 s,0.5297,0.0011,0.0059,0.0019
391_UCR_id_89_Medical_tr_1875_1st_5759,0.089186,3.37 s,0.5272,0.0282,0.0293,0.0287
377_UCR_id_75_Medical_tr_1875_1st_6599,0.089187,3.36 s,0.3333,0.0,0.0,0.0
469_UCR_id_167_Medical_tr_1875_1st_4187,0.089196,3.36 s,0.827,0.0323,0.5312,0.061
353_UCR_id_51_Medical_tr_1875_1st_3198,0.089198,3.34 s,0.6916,0.0984,0.1501,0.1189
442_UCR_id_140_Medical_tr_1875_1st_4187,0.089198,3.36 s,0.5699,0.0027,0.0391,0.0051
466_UCR_id_164_Medical_tr_1900_1st_5684,0.090316,3.41 s,0.4904,0.0284,0.0263,0.0273
257_TAO_id_1_Environment_tr_500_1st_3,0.090584,4.51 s,0.9999,1.0,0.6128,0.7599
398_UCR_id_96_Medical_tr_1913_1st_3474,0.090971,3.44 s,0.6637,0.0662,0.0659,0.0661
359_UCR_id_57_Medical_tr_1913_1st_3474,0.090986,3.45 s,0.6601,0.0764,0.0716,0.0739
156_Stock_id_8_Finance_tr_500_1st_24,0.093974,4.54 s,0.9996,0.9881,0.6337,0.7722
151_Stock_id_3_Finance_tr_500_1st_62,0.093983,4.51 s,0.9993,0.9871,0.5786,0.7296
153_Stock_id_5_Finance_tr_500_1st_1,0.094,4.52 s,0.9996,0.9906,0.6443,0.7808
161_Stock_id_13_Finance_tr_500_1st_3,0.094036,4.55 s,0.9995,0.9873,0.6016,0.7476
167_Stock_id_19_Finance_tr_500_1st_7,0.094036,4.52 s,0.9996,0.9889,0.6221,0.7637
545_SMAP_id_15_Sensor_tr_1173_1st_2750,0.0941,2.07 s,0.9769,0.8518,0.3675,0.5135
096_WSD_id_68_WebService_tr_1341_1st_1441,0.094295,4.82 s,0.6212,0.1671,0.1836,0.175
003_NAB_id_3_WebService_tr_1362_1st_1462,0.095143,7.21 s,0.6262,0.5732,0.0047,0.0094
258_TAO_id_2_Environment_tr_500_1st_4,0.095742,4.53 s,0.9989,1.0,0.0603,0.1137
032_WSD_id_4_WebService_tr_4559_1st_11822,0.096177,4.81 s,0.7565,0.1042,0.2247,0.1424
385_UCR_id_83_Environment_tr_2046_1st_6006,0.097263,3.68 s,0.6612,0.0535,0.1627,0.0805
496_UCR_id_194_Environment_tr_2046_1st_5391,0.0973,3.67 s,0.4199,0.0,0.0,0.0
411_UCR_id_109_Environment_tr_2046_1st_4852,0.097313,3.69 s,0.6866,0.0345,0.1209,0.0536
504_UCR_id_202_Environment_tr_2046_1st_5549,0.097315,3.67 s,0.6584,0.0304,0.1062,0.0473
506_UCR_id_204_Environment_tr_2046_1st_5549,0.097319,3.67 s,0.7069,0.0413,0.1448,0.0643
386_UCR_id_84_Environment_tr_2046_1st_5703,0.097325,3.68 s,0.7862,0.0537,0.3664,0.0937
474_UCR_id_172_Environment_tr_2046_1st_6520,0.097354,3.69 s,0.8137,0.0561,0.3748,0.0976
535_SMAP_id_5_Sensor_tr_1113_1st_1890,0.097936,1.97 s,0.9924,0.9857,0.3943,0.5633
072_WSD_id_44_WebService_tr_1691_1st_1791,0.098827,5.68 s,0.7228,0.8441,0.139,0.2387
006_NAB_id_6_Traffic_tr_2579_1st_5839,0.100637,4.66 s,0.4781,0.1689,0.0238,0.0417
537_SMAP_id_7_Sensor_tr_2077_1st_5394,0.1018,3.72 s,0.8211,0.9497,0.1049,0.1889
070_WSD_id_42_WebService_tr_2102_1st_2202,0.102521,5.28 s,0.6347,0.9455,0.1758,0.2964
301_TODS_id_15_Synthetic_tr_500_1st_245,0.103218,2.25 s,0.6006,0.3067,0.0643,0.1063
303_UCR_id_1_Medical_tr_2499_1st_8000,0.103674,4.44 s,0.5846,0.006,0.0492,0.0106
374_UCR_id_72_Medical_tr_2500_1st_7000,0.103678,5.02 s,0.6919,0.0183,0.127,0.032
304_UCR_id_2_Medical_tr_2499_1st_7000,0.103796,4.50 s,0.615,0.0186,0.0773,0.03
514_UCR_id_212_Medical_tr_2499_1st_6508,0.1038,4.46 s,0.6222,0.037,0.1402,0.0585
366_UCR_id_64_Medical_tr_2507_1st_8500,0.104061,4.48 s,0.313,0.0,0.0,0.0
162_Stock_id_14_Finance_tr_500_1st_4,0.104199,4.51 s,0.9997,1.0,0.2387,0.3855
157_Stock_id_9_Finance_tr_500_1st_19,0.104321,4.51 s,0.9999,1.0,0.2718,0.4275
168_Stock_id_20_Finance_tr_500_1st_1,0.104374,4.50 s,0.9998,1.0,0.2782,0.4353
163_Stock_id_15_Finance_tr_500_1st_3,0.104468,4.51 s,0.9998,1.0,0.2402,0.3874
150_Stock_id_2_Finance_tr_500_1st_7,0.10456,4.50 s,0.9998,1.0,0.2265,0.3694
295_TODS_id_9_Synthetic_tr_1250_1st_2046,0.105259,2.24 s,0.6669,0.3241,0.0651,0.1084
287_TODS_id_1_Synthetic_tr_500_1st_11,0.106287,2.23 s,0.9749,1.0,0.3071,0.4699
292_TODS_id_6_Synthetic_tr_500_1st_11,0.106339,2.23 s,0.8792,0.9988,0.2831,0.4412
300_TODS_id_14_Synthetic_tr_1250_1st_2555,0.106343,2.22 s,0.6793,0.8501,0.1448,0.2475
294_TODS_id_8_Synthetic_tr_500_1st_200,0.106356,2.22 s,0.6333,0.9646,0.1174,0.2094
293_TODS_id_7_Synthetic_tr_500_1st_7,0.10636,2.26 s,0.5977,0.9806,0.2103,0.3464
296_TODS_id_10_Synthetic_tr_500_1st_26,0.106361,2.24 s,0.8299,0.9987,0.3252,0.4907
288_TODS_id_2_Synthetic_tr_500_1st_65,0.106361,2.23 s,0.6703,0.999,0.1251,0.2224
289_TODS_id_3_Synthetic_tr_500_1st_26,0.106371,2.25 s,0.7184,0.9844,0.2939,0.4526
290_TODS_id_4_Synthetic_tr_500_1st_26,0.106376,2.25 s,0.6511,0.9595,0.1489,0.2578
291_TODS_id_5_Synthetic_tr_500_1st_11,0.106383,2.24 s,0.7651,0.9817,0.3109,0.4723
025_NAB_id_25_WebService_tr_3958_1st_4614,0.10642,7.14 s,0.581,0.4424,0.002,0.0041
298_TODS_id_12_Synthetic_tr_500_1st_0,0.106605,2.28 s,0.6429,0.9944,0.125,0.2221
297_TODS_id_11_Synthetic_tr_500_1st_7,0.106701,2.28 s,0.7313,0.2801,0.1176,0.1656
516_UCR_id_214_HumanActivity_tr_2108_1st_4702,0.106811,3.83 s,0.989,0.0289,0.8353,0.0559
339_UCR_id_37_Sensor_tr_2750_1st_5400,0.106957,4.97 s,0.5568,0.0825,0.0817,0.0821
479_UCR_id_177_Medical_tr_2000_1st_7000,0.106967,3.62 s,0.5821,0.0303,0.0965,0.0461
299_TODS_id_13_Synthetic_tr_500_1st_65,0.107262,2.32 s,0.8062,1.0,0.1973,0.3296
235_SED_id_2_Medical_tr_2499_1st_3840,0.10946,4.52 s,0.2572,0.0011,0.0007,0.0009
267_IOPS_id_8_WebService_tr_1534_1st_1882,0.109679,2.77 s,0.7132,0.1665,0.2578,0.2024
844_OPPORTUNITY_id_3_HumanActivity_tr_500_1st_566,0.110367,7.11 s,0.756,0.0273,0.0043,0.0074
016_NAB_id_16_Environment_tr_1816_1st_3540,0.110661,3.27 s,0.5297,0.273,0.033,0.0589
075_WSD_id_47_WebService_tr_3296_1st_3468,0.114544,5.94 s,0.6673,0.518,0.2566,0.3432
102_WSD_id_74_WebService_tr_3306_1st_3639,0.115,5.98 s,0.6836,0.3383,0.2446,0.2839
094_WSD_id_66_WebService_tr_3309_1st_3914,0.116292,5.98 s,0.6341,0.1845,0.2032,0.1934
077_WSD_id_49_WebService_tr_3310_1st_3716,0.116532,5.97 s,0.5939,0.4383,0.2106,0.2845
850_OPPORTUNITY_id_9_HumanActivity_tr_895_1st_995,0.118425,6.70 s,0.5793,0.0407,0.0181,0.0251
085_WSD_id_57_WebService_tr_780_1st_880,0.123563,6.99 s,0.9236,0.9717,0.4287,0.5949
862_OPPORTUNITY_id_21_HumanActivity_tr_500_1st_566,0.125293,7.15 s,0.6121,0.0834,0.0152,0.0258
142_MSL_id_3_Sensor_tr_1525_1st_4575,0.127683,2.76 s,0.9747,0.7772,0.2116,0.3327
852_OPPORTUNITY_id_11_HumanActivity_tr_500_1st_566,0.129635,7.11 s,0.5419,0.0446,0.0103,0.0167
116_WSD_id_88_WebService_tr_3934_1st_13861,0.130181,7.13 s,0.9363,0.0254,0.7617,0.0491
475_UCR_id_173_Medical_tr_3000_1st_8612,0.130676,5.41 s,0.6411,0.0168,0.0488,0.025
361_UCR_id_59_Medical_tr_3000_1st_7175,0.130681,5.42 s,0.4766,0.0138,0.02,0.0163
523_UCR_id_221_Facility_tr_3000_1st_6527,0.130681,5.41 s,0.6494,0.0291,0.0765,0.0422
309_UCR_id_7_Medical_tr_3000_1st_5948,0.130792,5.43 s,0.7374,0.0059,0.0403,0.0103
325_UCR_id_23_Medical_tr_3000_1st_6168,0.130809,5.40 s,0.206,0.0,0.0,0.0
869_OPPORTUNITY_id_28_HumanActivity_tr_500_1st_566,0.131428,7.07 s,0.5244,0.0358,0.0069,0.0116
133_WSD_id_105_WebService_tr_3934_1st_5937,0.132167,7.10 s,0.8309,0.199,0.4122,0.2684
473_UCR_id_171_HumanActivity_tr_2617_1st_7290,0.133586,4.71 s,0.7983,0.0027,0.0877,0.0052
318_UCR_id_16_Medical_tr_2499_1st_7000,0.133587,4.47 s,0.5862,0.0082,0.0324,0.0131
483_UCR_id_181_Medical_tr_2499_1st_6508,0.133623,4.47 s,0.5822,0.0322,0.1207,0.0509
857_OPPORTUNITY_id_16_HumanActivity_tr_500_1st_566,0.133627,7.15 s,0.5224,0.0362,0.0079,0.013
437_UCR_id_135_Medical_tr_2499_1st_8000,0.133632,4.54 s,0.5924,0.0038,0.0304,0.0067
320_UCR_id_18_Medical_tr_2500_1st_7000,0.133732,4.56 s,0.6947,0.0146,0.099,0.0255
306_UCR_id_4_Medical_tr_2507_1st_8500,0.134138,4.52 s,0.3745,0.0,0.0,0.0
310_UCR_id_8_HumanActivity_tr_2631_1st_8285,0.134155,4.73 s,0.6542,0.0096,0.0638,0.0167
864_OPPORTUNITY_id_23_HumanActivity_tr_895_1st_995,0.134425,6.68 s,0.6278,0.0547,0.0273,0.0365
859_OPPORTUNITY_id_18_HumanActivity_tr_895_1st_995,0.135277,6.73 s,0.5436,0.0444,0.0266,0.0333
073_WSD_id_45_WebService_tr_3392_1st_3492,0.135295,6.80 s,0.7438,0.425,0.1488,0.2204
041_WSD_id_13_WebService_tr_4296_1st_5196,0.135751,7.84 s,0.7827,0.9877,0.0468,0.0894
049_WSD_id_21_WebService_tr_4297_1st_7097,0.135863,7.80 s,0.7614,0.0908,0.2846,0.1377
271_IOPS_id_12_WebService_tr_500_1st_341,0.136612,3.93 s,0.7575,0.3756,0.2749,0.3174
369_UCR_id_67_Sensor_tr_2750_1st_5400,0.136769,4.96 s,0.5657,0.0768,0.0739,0.0753
417_UCR_id_115_Sensor_tr_2750_1st_5400,0.136871,4.92 s,0.5521,0.0741,0.0778,0.0759
135_WSD_id_107_WebService_tr_3779_1st_3879,0.137953,6.94 s,0.9158,0.8125,0.5398,0.6487
111_WSD_id_83_WebService_tr_3934_1st_7531,0.139913,7.05 s,0.7164,0.0504,0.3377,0.0878
089_WSD_id_61_WebService_tr_1010_1st_1110,0.140915,7.89 s,0.933,0.9491,0.3893,0.5521
051_WSD_id_23_WebService_tr_3919_1st_5154,0.14109,7.10 s,0.6584,0.258,0.1437,0.1846
854_OPPORTUNITY_id_13_HumanActivity_tr_1477_1st_1577,0.142096,8.11 s,0.7034,0.0666,0.0428,0.0521
188_SMD_id_11_Facility_tr_500_1st_392,0.142554,10.73 s,0.8828,1.0,0.0411,0.079
870_OPPORTUNITY_id_29_HumanActivity_tr_1477_1st_1577,0.142983,8.13 s,0.6088,0.0531,0.0298,0.0382
038_WSD_id_10_WebService_tr_4042_1st_4142,0.143375,8.16 s,0.872,0.842,0.4009,0.5432
039_WSD_id_11_WebService_tr_1746_1st_1846,0.144009,8.21 s,0.8168,0.908,0.1403,0.2431
128_WSD_id_100_WebService_tr_4068_1st_4168,0.144048,8.21 s,0.7381,0.6066,0.0769,0.1366
134_WSD_id_106_WebService_tr_4559_1st_7990,0.144058,8.23 s,0.717,0.6175,0.1688,0.2651
044_WSD_id_16_WebService_tr_4559_1st_6975,0.144459,8.22 s,0.676,0.3579,0.1245,0.1848
052_WSD_id_24_WebService_tr_4559_1st_9102,0.144472,8.22 s,0.8919,0.7155,0.3902,0.505
092_WSD_id_64_WebService_tr_500_1st_118,0.144486,8.20 s,0.9201,0.9683,0.4247,0.5905
081_WSD_id_53_WebService_tr_4559_1st_8448,0.144561,8.28 s,0.7879,0.8591,0.1136,0.2007
034_WSD_id_6_WebService_tr_4559_1st_8461,0.144562,8.29 s,0.7852,0.7544,0.1757,0.285
066_WSD_id_38_WebService_tr_3320_1st_3420,0.144584,8.29 s,0.8422,0.8405,0.1369,0.2354
080_WSD_id_52_WebService_tr_1538_1st_1638,0.144619,8.28 s,0.7523,0.9866,0.1992,0.3315
136_WSD_id_108_WebService_tr_3414_1st_3514,0.14466,8.27 s,0.8938,0.9585,0.2869,0.4417
132_WSD_id_104_WebService_tr_4037_1st_4137,0.144672,8.26 s,0.8059,0.5015,0.2807,0.3599
180_SMD_id_3_Facility_tr_5925_1st_17580,0.145905,10.82 s,0.9954,1.0,0.2114,0.3491
139_WSD_id_111_WebService_tr_1701_1st_1801,0.146351,8.31 s,0.8601,0.8695,0.3607,0.5099
526_UCR_id_224_Sensor_tr_2827_1st_4711,0.147321,5.09 s,0.5841,0.0698,0.1475,0.0948
848_OPPORTUNITY_id_7_HumanActivity_tr_1477_1st_1577,0.147583,8.17 s,0.6448,0.1312,0.0972,0.1117
373_UCR_id_71_Sensor_tr_2827_1st_5988,0.147631,5.09 s,0.5776,0.0099,0.0225,0.0138
405_UCR_id_103_Sensor_tr_2827_1st_5988,0.147658,5.08 s,0.6092,0.0121,0.0262,0.0165
426_UCR_id_124_Sensor_tr_2827_1st_4711,0.147782,5.08 s,0.552,0.0796,0.1686,0.1082
364_UCR_id_62_Sensor_tr_2833_1st_5988,0.147924,5.09 s,0.4498,0.0029,0.0064,0.004
071_WSD_id_43_WebService_tr_3387_1st_3487,0.148057,8.31 s,0.8163,0.9064,0.0377,0.0725
313_UCR_id_11_Sensor_tr_2827_1st_4711,0.148333,5.13 s,0.5593,0.0868,0.1714,0.1153
449_UCR_id_147_Sensor_tr_2847_1st_9330,0.148541,5.10 s,0.9721,0.0369,0.7402,0.0702
316_UCR_id_14_Sensor_tr_2833_1st_5988,0.148688,5.07 s,0.4617,0.0033,0.007,0.0045
344_UCR_id_42_Sensor_tr_2851_1st_5365,0.148868,5.24 s,0.4669,0.0012,0.0183,0.0023
493_UCR_id_191_Sensor_tr_2847_1st_9330,0.149385,5.16 s,0.977,0.0419,0.791,0.0795
347_UCR_id_45_Sensor_tr_2851_1st_5365,0.149615,5.18 s,0.5261,0.0017,0.0248,0.0032
047_WSD_id_19_WebService_tr_4559_1st_16362,0.149627,8.23 s,0.975,0.1329,0.8855,0.2311
031_WSD_id_3_WebService_tr_826_1st_926,0.152664,8.23 s,0.8381,0.0665,0.4572,0.1161
124_WSD_id_96_WebService_tr_4559_1st_14350,0.152814,8.25 s,0.9001,0.0532,0.6875,0.0987
120_WSD_id_92_WebService_tr_2329_1st_2429,0.152967,7.82 s,0.6093,0.5203,0.187,0.2751
194_SMD_id_17_Facility_tr_5925_1st_17580,0.155003,11.00 s,0.9671,0.8026,0.2777,0.4126
539_SMAP_id_9_Sensor_tr_1857_1st_4270,0.155552,3.30 s,0.9514,0.5265,0.2161,0.3064
090_WSD_id_62_WebService_tr_2281_1st_2381,0.156057,6.07 s,0.9552,0.9763,0.4085,0.576
097_WSD_id_69_WebService_tr_4520_1st_6465,0.158561,8.20 s,0.6452,0.1733,0.2247,0.1957
082_WSD_id_54_WebService_tr_4437_1st_4805,0.158652,8.05 s,0.8993,0.9797,0.1135,0.2034
115_WSD_id_87_WebService_tr_2252_1st_2352,0.15867,8.29 s,0.6225,0.8,0.1532,0.2572
030_WSD_id_2_WebService_tr_4499_1st_4599,0.158739,8.27 s,0.673,0.3167,0.1903,0.2378
104_WSD_id_76_WebService_tr_3047_1st_3147,0.158752,8.13 s,0.6442,0.7015,0.1869,0.2952
091_WSD_id_63_WebService_tr_500_1st_363,0.158843,8.21 s,0.6213,0.5968,0.1589,0.2509
541_SMAP_id_11_Sensor_tr_1832_1st_5300,0.159049,3.30 s,0.3806,0.1104,0.0601,0.0778
125_WSD_id_97_WebService_tr_2217_1st_2317,0.159281,8.22 s,0.6099,0.7398,0.159,0.2618
093_WSD_id_65_WebService_tr_1125_1st_1225,0.15968,8.16 s,0.6437,0.9523,0.128,0.2256
