dataset,size_in_MB,eval_time,AUC_ROC,Precision,Recall,F1
601_YAHOO_id_51_Synthetic_tr_500_1st_893,0.02728,0.61 s,1.0,1.0,1.0,1.0
658_YAHOO_id_108_Synthetic_tr_500_1st_893,0.027285,0.62 s,1.0,1.0,1.0,1.0
590_YAHOO_id_40_Synthetic_tr_500_1st_658,0.027297,0.61 s,1.0,0.9533,1.0,0.9761
632_YAHOO_id_82_Synthetic_tr_500_1st_658,0.0273,0.62 s,1.0,0.9439,0.9902,0.9665
777_YAHOO_id_227_Synthetic_tr_500_1st_623,0.027302,0.61 s,0.9999,0.9486,0.963,0.9558
563_YAHOO_id_13_Synthetic_tr_500_1st_623,0.027305,0.61 s,1.0,1.0,0.9891,0.9945
782_YAHOO_id_232_Synthetic_tr_500_1st_623,0.027305,0.61 s,1.0,0.9889,0.9717,0.9803
571_YAHOO_id_21_Synthetic_tr_500_1st_623,0.027307,0.62 s,0.9997,0.969,0.95,0.9594
739_YAHOO_id_189_Synthetic_tr_500_1st_893,0.027309,0.62 s,1.0,1.0,1.0,1.0
673_YAHOO_id_123_Synthetic_tr_500_1st_893,0.02731,0.61 s,1.0,1.0,1.0,1.0
567_YAHOO_id_17_Synthetic_tr_500_1st_893,0.027312,0.61 s,1.0,1.0,1.0,1.0
776_YAHOO_id_226_Synthetic_tr_500_1st_623,0.027314,0.62 s,0.9999,0.9631,0.9652,0.9642
785_YAHOO_id_235_Synthetic_tr_500_1st_658,0.02732,0.61 s,1.0,0.9148,1.0,0.9555
613_YAHOO_id_63_Synthetic_tr_500_1st_623,0.027325,0.61 s,1.0,0.9785,0.9891,0.9838
715_YAHOO_id_165_Synthetic_tr_500_1st_658,0.027328,0.60 s,1.0,0.9401,1.0,0.9691
647_YAHOO_id_97_Synthetic_tr_500_1st_658,0.027329,0.60 s,1.0,0.9533,1.0,0.9761
578_YAHOO_id_28_Synthetic_tr_500_1st_623,0.02733,0.60 s,1.0,0.9531,0.9717,0.9623
582_YAHOO_id_32_Synthetic_tr_500_1st_658,0.02733,0.60 s,1.0,0.9623,1.0,0.9808
